t,n_workers,total_mb,event
26451,8,15511.8,recycle
26481,0,0.0,
26511,0,0.0,
26541,8,1934.9,
26571,8,4391.2,
26601,8,7471.0,
26631,8,9323.9,
26661,8,10130.6,
26691,8,9994.2,
26721,8,10627.4,
26751,8,11062.1,
26781,8,11577.7,
26811,8,11956.6,
26841,8,11835.1,
26871,8,12057.0,
26901,8,12101.1,
26931,8,12566.0,
26961,8,12674.0,
26991,8,12794.6,
27022,8,13097.6,
27052,8,12981.9,
27082,8,13160.2,
27112,8,13606.4,
27142,8,13256.9,
27172,8,13893.8,
27202,8,13780.9,
27232,8,13587.9,
27262,8,13867.8,
27292,8,14045.7,
27322,8,13968.0,
27352,8,13745.9,
27382,8,13487.2,
27412,8,13836.6,
27442,8,13746.8,
27472,8,13804.3,
27502,8,14108.2,
27532,8,13927.6,
27563,8,14172.6,
27593,8,14488.2,
27623,8,14348.7,
27653,8,14179.4,
27683,8,14144.8,
27713,8,13889.0,
27743,8,14107.1,
27773,8,13700.6,
27803,8,14077.7,
27833,8,14254.9,
27863,8,14711.0,
27893,8,14197.8,
27923,8,14474.1,
27953,8,14366.4,
27983,8,14485.5,
28013,8,14352.7,
28043,8,14801.4,
28073,8,14632.4,
28103,8,14793.8,
28134,8,14910.9,
28164,8,15043.9,
28194,8,15141.7,
28224,8,14850.5,
28254,8,14830.4,
28284,8,15194.3,
28314,8,15115.3,
28344,8,15304.8,
28374,8,14663.0,
28404,8,14698.5,
28434,8,15079.7,
28464,8,15154.5,
28494,8,15285.1,
28524,8,15122.9,
28554,8,15416.9,
28584,8,15271.2,
28614,8,15561.9,
28645,8,15044.2,
28675,8,15384.4,
28705,8,15019.8,
28735,8,15510.1,
28765,8,15243.1,
28795,8,14948.6,
28825,8,15254.3,
28855,8,15253.6,recycle
28885,0,0.0,
28915,0,0.0,
28945,8,1935.6,
28975,8,5039.6,
29005,8,8054.7,
29035,8,9217.3,
29065,8,9728.4,
29095,8,10295.8,
29125,8,11099.6,
29155,8,10826.2,
29186,8,11455.1,
29216,8,11455.6,
29246,8,11780.3,
29276,8,12365.6,
29306,8,12590.6,
29336,8,12081.8,
29366,8,12436.8,
29396,8,12627.1,
29426,8,12421.8,
29456,8,12758.8,
29486,8,13023.8,
29516,8,12683.2,
29546,8,13088.6,
29576,8,12637.0,
29606,8,12869.8,
29636,8,12924.7,
29666,8,13268.6,
29696,8,13278.1,
29727,8,13195.7,
29757,8,13081.7,
29787,8,13508.8,
29817,8,13105.1,
29847,8,13430.1,
29877,8,13761.9,
29907,8,13791.0,
29937,8,13632.0,
29967,8,13851.0,
29997,8,13383.0,
30027,8,13597.4,
30057,8,13566.7,
30087,8,13616.5,
30117,8,13471.7,
30147,8,13684.7,
30177,8,13633.1,
30207,8,14231.0,
30237,8,13836.7,
30267,8,14325.7,
30298,8,14288.9,
30328,8,14398.2,
30358,8,14213.6,
30388,8,14056.4,
30418,8,14054.3,
30448,8,14888.7,
30478,8,14682.4,
30508,8,14606.8,
30538,8,14614.0,
30568,8,14254.6,
30598,8,14649.8,
30628,8,14617.7,
30658,8,14499.8,
30688,8,14519.6,
30718,8,14932.3,
30748,8,14881.7,
30778,8,15032.7,
30808,8,15162.5,
30838,8,14601.3,
30869,8,14634.3,
30899,8,15073.3,
30929,8,15259.6,
30959,8,14804.6,
30989,8,15492.6,
31019,8,15185.5,
31049,8,15279.2,
31079,8,15306.3,
31109,8,14931.6,
31139,8,15021.0,
31169,8,15260.5,
31199,8,15491.9,
31229,8,15379.4,
31259,8,15535.7,recycle
31289,0,0.0,
31319,0,0.0,
31349,8,1936.9,
31379,8,5092.0,
31409,8,7640.7,
31440,8,8691.6,
31470,8,9703.3,
31500,8,10383.0,
31530,8,10718.8,
31560,8,11150.9,
31590,8,11364.5,
31620,8,11721.7,
31650,8,11854.9,
31680,8,11762.7,
31710,8,12014.6,
31740,8,12024.2,
31770,8,12665.6,
31800,8,13187.6,
31830,8,12982.6,
31860,8,12865.5,
31890,8,13053.1,
31920,8,12991.6,
31951,8,13060.5,
31981,8,13397.2,
32011,8,13211.4,
32041,8,13334.6,
32071,8,13374.3,
32101,8,13363.1,
32131,8,13331.8,
32161,8,13513.3,
32191,8,13280.2,
32221,8,13336.6,
32251,8,13556.5,
32281,8,13676.3,
32311,8,13541.4,
32341,8,13553.8,
32371,8,13655.2,
32401,8,13926.1,
32431,8,13706.7,
32461,8,13420.6,
32492,8,13972.1,
32522,8,13833.8,
32552,8,13686.4,
32582,8,14107.8,
32612,8,14074.0,
32642,8,14379.2,
32672,8,14091.3,
32702,8,14573.7,
32732,8,14157.6,
32762,8,14046.9,
32792,8,14368.1,
32822,8,14328.7,
32852,8,14300.8,
32882,8,14542.3,
32912,8,14457.9,
32942,8,14383.6,
32973,8,14176.6,
33003,8,14583.6,
33033,8,14744.8,
33063,8,14847.5,
33093,8,14482.8,
33123,8,14477.1,
33153,8,14882.0,
33183,8,14722.7,
33213,8,14466.5,
33243,8,14847.8,
